N_MRK	MEAN_UNIHS	SD_UNIHS	LOWER_QT	UPPER_QT
55028	-2.79146802105276	0.874892321000098	-4.60170730405318	-1.173800336979
39301	-2.48388806359661	0.854568270714107	-4.30476595159137	-0.917545618230011
26732	-2.25765072551335	0.872996182249842	-4.10812893941002	-0.607309122388483
21144	-2.00705791691581	0.820817053560126	-3.57817257142254	-0.39497361022661
18028	-1.76218414650678	0.84861914833204	-3.44407674185904	-0.101767033278356
13570	-1.63093503371085	0.817870288172788	-3.21824787606706	-0.0249417401496466
11956	-1.39472415046994	0.842589347348864	-3.00253809586759	0.321192137434911
10618	-1.31626775758575	0.865854573061269	-2.9276363736938	0.442023689272823
10756	-1.16776017448296	0.883597442678319	-2.869940369821	0.552410338425976
8297	-1.01064565415907	0.863817846778819	-2.62216789166238	0.774747660997807
7925	-0.87038011061352	0.912404838096795	-2.67247471861859	0.864814478261922
7669	-0.756073467062235	0.9233874551941	-2.55592439012608	0.980422580110276
6501	-0.686635798675637	0.905963049030666	-2.45318438048486	1.05172727483209
5547	-0.522014039191169	0.916026580080332	-2.35623294834319	1.26107237290192
6231	-0.404227266414796	0.925659893279518	-2.13754884238585	1.52210775207151
5599	-0.337492415179769	0.91964111739883	-2.0459919313771	1.649996135142
4852	-0.138347649683893	0.958708763465772	-1.92832134373088	1.80930605864906
4590	-0.00669176828852818	0.915152918169953	-1.66833816943318	1.82283094631068
4762	0.187472876904293	0.979114759140729	-1.7126282225161	2.01320485517131
3836	0.271780777353494	0.95814791707946	-1.51036784166555	2.20417054546561
3610	0.423696481178251	0.960451742074764	-1.36676001558094	2.23044080467634
3916	0.519352119250776	0.876326408099906	-1.13041024427849	2.20463251970519
3602	0.700289297901018	0.910447685206223	-1.08829164492581	2.46443080118353
3463	0.793858720825232	0.968516203863165	-1.01229130102573	2.59171902820572
3540	0.838263747235131	0.881948424044698	-0.812427698877431	2.53654823321871
3316	1.02693126994838	0.890870286649846	-0.705344914170363	2.76720751517439
3101	1.09878528085184	0.822845682336436	-0.585449555287894	2.64029484230407
3113	1.24797811975106	0.886249849484506	-0.363160967795719	3.0975778262736
2846	1.41378481087254	0.836141736513119	-0.143636494615585	2.95312842104422
2869	1.54854351733425	0.785302579814086	-0.0304207500559611	2.99518679729523
3005	1.67419215672462	0.847849921226429	0.0636525084298246	3.34201368014571
3142	1.82375279718041	0.768942334800805	0.285245594277161	3.35688729655053
2973	2.04045625304917	0.776168320273807	0.445625467568521	3.58802051458207
3106	2.22476407999172	0.869269937945164	0.44172479203956	3.84048457462464
3133	2.49577826426121	0.801105759583327	0.910547134776398	4.05454400526517
2917	2.78572607329339	0.90655650620994	1.22140621800538	4.58936344261325
