N_MRK	MEAN_UNIHS	SD_UNIHS	LOWER_QT	UPPER_QT
148051	-1.96026967856028	0.693257915103146	-3.38695152843385	-0.650528622036837
114943	-1.73867813354862	0.672056128976227	-3.11851320608792	-0.462474251397027
95012	-1.56572708908146	0.658324409277399	-2.90189729901509	-0.297900175042423
78870	-1.41820531798442	0.657215048162807	-2.73696910833336	-0.16738817290491
66113	-1.2978010821793	0.653521632399415	-2.59129129867718	-0.0357362767130309
57602	-1.18319756695909	0.656241810685168	-2.46834852073797	0.0692774900096697
52092	-1.07970494906944	0.656387935833503	-2.36656046092705	0.178898199325681
45426	-0.970180143674937	0.661325605330907	-2.27348383723732	0.311534813686506
42181	-0.875947209546722	0.6636616458738	-2.18059145566293	0.418524582254137
37108	-0.77966637344267	0.667866660766079	-2.09044258933657	0.500855710714846
34895	-0.686166019980238	0.674108982759492	-2.00780499441139	0.639394964586156
32257	-0.598597668438491	0.684273948585863	-1.93080789799192	0.739233942893557
29302	-0.504576082818705	0.687152700609911	-1.86202691224176	0.828557145396848
26958	-0.428359738053749	0.691562919567691	-1.79961416548867	0.929841493266423
26235	-0.34334317502811	0.701049165377271	-1.72744403801186	1.04219598725869
24005	-0.247542284288178	0.696841977743168	-1.62432953549462	1.10929959479223
22563	-0.156317248932838	0.707585890301529	-1.56010465408673	1.24920738464014
21461	-0.0643755599224588	0.704577612217074	-1.4482612060365	1.32868086434006
20405	0.0227259559080358	0.698061343157541	-1.36082546696494	1.38876550796788
18988	0.10841006834639	0.698719299649077	-1.29050289476722	1.45704897628145
18697	0.193835968597654	0.69343179242614	-1.19080224330792	1.56734714496624
18148	0.278217680165319	0.688788387596691	-1.09492757859043	1.59908061626678
17366	0.374812323919068	0.694496048669328	-0.986228889887561	1.72774947417703
17453	0.460854589743227	0.690880588773843	-0.905743479247128	1.80867329399677
16740	0.543780633885699	0.684097750374618	-0.799178461709468	1.86484997128003
16539	0.637222419825203	0.674688789346519	-0.699190395981478	1.92442931962075
15903	0.733818897678712	0.666693535743801	-0.562613352681079	2.03889970310426
15902	0.814830136668979	0.66458913234753	-0.484651478760494	2.10315160870978
15422	0.916098782009616	0.661269405174304	-0.363467755568545	2.21576036320348
15284	1.00794561567881	0.65200860454141	-0.248162683342269	2.28115717004086
15131	1.11293240726348	0.653014778516279	-0.152172175536436	2.39520902925647
15083	1.21059259861101	0.64531773015782	-0.0295646260014967	2.49821288579369
14200	1.33289558038935	0.648209721359838	0.0902342079426827	2.62989979266805
14592	1.48610802948609	0.651745126360307	0.209652718142433	2.78713979942381
14118	1.6171238404795	0.660327324241453	0.353663039066343	2.9513691075809
13628	1.81467957694098	0.680981973257159	0.547717020239597	3.22516728822233
