#mrk	mean(log(iHHA/iHHD))	sd(log(iHHA/iHHD))
649	1.92149288005756	0.76204468648688
698	1.69743279525137	0.685583255683544
783	1.55199055468223	0.749731935464288
711	1.31092322877522	0.688479091700505
726	1.23045013620918	0.66350773670011
758	1.08576940867075	0.64624843604202
753	1.03032385573611	0.667847846088998
748	0.964756217604204	0.731398391424002
829	0.826337941653011	0.675178299708894
734	0.68402218100433	0.651883865787673
812	0.613720315914753	0.65750501934671
878	0.552946682504746	0.71000705439551
843	0.46656793572329	0.721518268594408
861	0.376315195793794	0.720764092005925
911	0.264299448609957	0.733222546923101
935	0.222502354738395	0.713390755534466
984	0.138809803374787	0.730156184582252
984	0.034549822146561	0.729482081629981
1060	-0.061337950304574	0.736631903179817
1170	-0.185335105785416	0.715885375191253
1276	-0.313803834100093	0.71490237597526
1327	-0.362007444048101	0.698694702459276
1360	-0.458354377742979	0.711379600913852
1507	-0.529682553962735	0.714500346612151
1565	-0.620867584081889	0.717249696386612
1725	-0.671820063166816	0.708663566523095
1787	-0.808245648379813	0.704760302273742
2054	-0.91501083859377	0.700361360885234
2354	-1.02545473400473	0.701676364190375
2378	-1.10500383286236	0.697869583128194
2867	-1.22225411357686	0.689937479163343
3324	-1.34781898516806	0.714255244912551
3749	-1.45554725088279	0.695297273938558
4647	-1.60009719019513	0.709371692970175
5937	-1.78321089864252	0.709168244687319
7297	-2.03139551558305	0.739723895980238
