#mrk	mean(log(iHHA/iHHD))	sd(log(iHHA/iHHD))
656	1.89765597424138	0.783418992593322
729	1.73641842852837	0.724413949198111
759	1.55547478053925	0.763256853664329
685	1.36063364971033	0.699995775344254
766	1.17175956216409	0.672919133542103
762	1.11419735369685	0.658718613193926
726	1.01971261244984	0.659398143041615
743	0.953171910600954	0.699956648256806
802	0.835271632723794	0.681416916953329
782	0.688157469518411	0.701098193721785
840	0.628101604833516	0.649062524063071
845	0.501051403119751	0.710434263519378
815	0.520821979942596	0.742990705256262
831	0.358410581985972	0.73389143678688
984	0.309291853226451	0.724555362668358
877	0.230806795240168	0.745442665127526
1005	0.118848754498606	0.7300410817455
998	0.0136404072178891	0.742929673415051
1101	-0.0756446942711681	0.724546864404971
1117	-0.196908631533007	0.71310696140598
1288	-0.27451132965439	0.727506016955235
1362	-0.405132917441146	0.708991243497502
1298	-0.453567795667302	0.740502919648715
1446	-0.558556077931779	0.707255711497016
1714	-0.582270002651017	0.729857219429941
1643	-0.705397524459703	0.72139841232687
1789	-0.806963914392369	0.705326080869953
2187	-0.93154784947279	0.723681021984343
2266	-1.01334220314646	0.713716913600308
2437	-1.14448405065959	0.695730579107383
2637	-1.21515628034982	0.680717263456917
3419	-1.35379654052932	0.739608982326978
3828	-1.47303870770437	0.711809273809165
4483	-1.61830078579024	0.736388778169964
6233	-1.80511265324228	0.71791201973853
7232	-2.05780314953276	0.756034772619803
