#mrk	mean(log(iHHA/iHHD))	sd(log(iHHA/iHHD))
668	1.90063187392669	0.740615659272177
681	1.74456203297853	0.709849290483607
746	1.46731552351361	0.68416396803083
756	1.37456354687069	0.69612735775341
708	1.1810624267492	0.668142880536423
764	1.14191903699838	0.656342986467422
742	1.01868045675049	0.648492808905255
750	0.911997304204544	0.695465197566413
799	0.831401231342965	0.704921032267411
747	0.726260646273056	0.64807322722409
870	0.606529519532225	0.670053327101461
852	0.57105345384421	0.66622329223321
854	0.442289934677104	0.723392072585982
843	0.38909525523993	0.742309574218564
878	0.256307364594282	0.701185617474981
928	0.222675724835585	0.7363400677397
1002	0.139722612324488	0.734178921365318
1009	-0.00909942127773641	0.736594331689834
1026	-0.0705464266473797	0.731696667785952
1187	-0.171878946566026	0.726626965447036
1238	-0.273376303563389	0.714656305955806
1319	-0.355406224191441	0.695816805274065
1433	-0.434877008420538	0.724101983006758
1460	-0.549687205112089	0.718481605830477
1579	-0.610196186865254	0.706109455608614
1760	-0.698435380611784	0.702408808563357
1823	-0.779782952733354	0.707611223379092
2047	-0.901353477038894	0.685795618897124
2325	-1.00200331077635	0.67953346764782
2464	-1.11189328968426	0.68389469704384
2842	-1.20877745290355	0.689613272282924
3239	-1.33149353476421	0.693716816449686
3801	-1.43385533634928	0.687707897643997
4717	-1.60829814470433	0.684984297705499
5854	-1.77864213751906	0.690737645661538
7240	-2.02695409490881	0.707546128620489
