#mrk	mean(log(iHHA/iHHD))	sd(log(iHHA/iHHD))
663	1.93786049523365	0.744800583641158
666	1.70644702184233	0.700682570673603
770	1.53736330010816	0.749394060687768
763	1.35218427300283	0.694462336122078
710	1.25577199524172	0.650061511162644
740	1.07417074978544	0.671752431643333
738	1.0488833277949	0.717650084273398
761	0.968202886820988	0.680139726921681
861	0.832531695620573	0.688845800025153
737	0.677434799291708	0.673941835204326
779	0.605941270598187	0.654430712512028
817	0.534666395455285	0.719636664082187
902	0.484444878547239	0.71910717575788
942	0.362289347649338	0.738514350664508
878	0.27795962971372	0.722563027488997
894	0.186288803228124	0.717210639041648
981	0.153781648891427	0.733293213594803
1010	0.0319231858155882	0.711051678827315
1102	-0.0561395313479319	0.745787657069079
1163	-0.186030092987858	0.725460636070905
1226	-0.306374539834898	0.72640267019624
1288	-0.382829069597607	0.711819876268619
1444	-0.436750512791285	0.706340333969419
1475	-0.530091353615795	0.717872000552808
1548	-0.630505546489773	0.707228362253613
1702	-0.690134005064578	0.709253595995919
1775	-0.804624960642334	0.712339910452965
2162	-0.91737113575898	0.700281679310151
2343	-1.02198003896135	0.695201022404204
2406	-1.12418452668708	0.702919447747942
2788	-1.22718460693741	0.711188493242866
3195	-1.34154329908862	0.693983498237372
3996	-1.46805633145449	0.702325663969971
4596	-1.62848046708839	0.713848189045271
5776	-1.80036227800673	0.73115722215276
7481	-2.05163544890251	0.764958778653512
