rows	SB	BA	FO	GBR	FIN	CHS	PUR	CDX	CLM	IBS	PEL	PJL	KHV	ACB	GWD	ESN	BEB	MSL	STU	ITU	CEU	YRI	CHB	JPT	LWK	ASW	MXL	TSI	GIH
SB	0	1	-1	102	103	151	83	162	90	110	132	106	153	3	8	3	100	6	109	111	110	2	146	141	5	5	95	110	110
BA	1	0	-2	97	98	148	79	160	87	105	130	101	150	3	7	3	95	6	103	106	105	3	145	140	4	4	91	105	105
FO	-1	-2	0	91	93	139	74	155	84	98	137	100	142	-5	-2	-5	93	-1	102	104	99	-7	136	129	-4	-3	92	98	105
GBR	102	97	91	0	7	107	12	110	17	3	86	28	103	103	128	129	40	130	39	39	0	129	103	106	121	79	33	4	36
FIN	103	98	93	7	0	99	17	102	20	11	84	29	95	102	126	129	40	128	38	39	8	128	95	98	119	78	34	13	35
CHS	151	148	139	107	99	0	83	4	74	108	82	69	3	128	144	149	56	151	70	70	109	149	1	9	144	109	68	109	74
PUR	83	79	74	12	17	83	0	88	6	11	57	23	82	66	87	89	31	90	32	32	12	89	79	82	83	46	17	12	30
CDX	162	160	155	110	102	4	88	0	78	113	87	72	1	133	149	153	59	156	71	72	113	154	9	17	149	114	72	113	76
CLM	90	87	84	17	20	74	6	78	0	17	41	24	71	74	96	97	29	98	31	32	18	98	70	72	92	53	9	18	29
IBS	110	105	98	3	11	108	11	113	17	0	93	31	104	101	125	127	42	127	41	41	3	127	105	108	118	76	37	2	37
PEL	132	130	137	86	84	82	57	87	41	93	0	71	82	127	146	148	71	150	78	77	89	149	81	79	146	105	19	93	78
PJL	106	101	100	28	29	69	23	72	24	31	71	0	65	89	110	112	4	113	3	2	29	112	66	68	107	68	32	29	3
KHV	153	150	142	103	95	3	82	1	71	104	82	65	0	128	145	149	52	151	65	65	105	150	7	14	145	109	66	106	70
ACB	3	3	-5	103	102	128	66	133	74	101	127	89	128	0	6	3	90	5	89	93	105	2	125	128	6	2	90	102	94
GWD	8	7	-2	128	126	144	87	149	96	125	146	110	145	6	0	8	110	4	110	113	129	6	142	145	10	11	111	126	115
ESN	3	3	-5	129	129	149	89	153	97	127	148	112	149	3	8	0	113	6	111	115	131	1	146	148	7	9	113	128	116
BEB	100	95	93	40	40	56	31	59	29	42	71	4	52	90	110	113	0	115	2	3	41	113	54	57	108	70	35	42	5
MSL	6	6	-1	130	128	151	90	156	98	127	150	113	151	5	4	6	115	0	113	117	131	4	148	151	9	11	114	128	118
STU	109	103	102	39	38	70	32	71	31	41	78	3	65	89	110	111	2	113	0	1	40	111	67	69	106	69	39	39	5
ITU	111	106	104	39	39	70	32	72	32	41	77	2	65	93	113	115	3	117	1	0	40	115	67	69	110	72	39	39	4
CEU	110	105	99	0	8	109	12	113	18	3	89	29	105	105	129	131	41	131	40	40	0	131	105	109	123	80	35	5	35
YRI	2	3	-7	129	128	149	89	154	98	127	149	112	150	2	6	1	113	4	111	115	131	0	146	148	6	9	113	128	117
CHB	146	145	136	103	95	1	79	9	70	105	81	66	7	125	142	146	54	148	67	67	105	146	0	7	141	106	65	105	72
JPT	141	140	129	106	98	9	82	17	72	108	79	68	14	128	145	148	57	151	69	69	109	148	7	0	143	109	66	109	74
LWK	5	4	-4	121	119	144	83	149	92	118	146	107	145	6	10	7	108	9	106	110	123	6	141	143	0	11	108	118	111
ASW	5	4	-3	79	78	109	46	114	53	76	105	68	109	2	11	9	70	11	69	72	80	9	106	109	11	0	68	77	72
MXL	95	91	92	33	34	68	17	72	9	37	19	32	66	90	111	113	35	114	39	39	35	113	65	66	108	68	0	37	38
TSI	110	105	98	4	13	109	12	113	18	2	93	29	106	102	126	128	42	128	39	39	5	128	105	109	118	77	37	0	36
GIH	110	105	105	36	35	74	30	76	29	37	78	3	70	94	115	116	5	118	5	4	35	117	72	74	111	72	38	36	0
