rows	SB	BA	FO	GBR	FIN	CHS	PUR	CDX	CLM	IBS	PEL	PJL	KHV	ACB	GWD	ESN	BEB	MSL	STU	ITU	CEU	YRI	CHB	JPT	LWK	ASW	MXL	TSI	GIH
SB	0	1	3	134	137	159	97	159	110	129	164	117	156	4	7	3	118	5	119	119	134	2	159	160	5	10	128	130	120
BA	1	0	3	135	137	159	98	159	111	129	164	117	156	4	7	3	118	5	119	119	134	2	159	161	5	10	128	130	120
FO	3	3	0	128	131	155	92	155	106	124	160	112	151	4	6	4	113	6	114	114	128	3	154	156	5	9	123	124	115
GBR	134	135	128	0	7	103	11	104	16	3	86	28	100	102	126	130	39	130	41	40	0	129	101	104	120	79	37	4	34
FIN	137	137	131	7	0	96	15	97	18	10	81	30	93	104	127	132	39	131	41	41	6	130	94	96	122	81	36	12	35
CHS	159	159	155	103	96	0	81	5	74	103	83	70	3	132	150	153	55	153	67	68	103	152	1	9	144	113	67	103	72
PUR	97	98	92	11	15	81	0	82	6	9	58	23	78	70	90	94	29	94	32	31	10	92	79	81	85	50	19	9	28
CDX	159	159	155	104	97	5	82	0	76	104	87	70	2	132	150	153	55	153	67	68	104	152	9	17	144	113	70	104	72
CLM	110	111	106	16	18	74	6	76	0	14	40	24	72	81	102	106	29	105	32	32	15	104	72	74	96	59	10	15	29
IBS	129	129	124	3	10	103	9	104	14	0	88	29	100	97	121	125	39	125	41	40	2	124	101	103	115	75	37	2	35
PEL	164	164	160	86	81	83	58	87	40	88	0	72	83	134	154	158	69	157	76	76	86	156	80	80	149	112	17	88	75
PJL	117	117	112	28	30	70	23	70	24	29	72	0	66	88	109	113	4	112	4	3	28	111	68	70	103	68	35	28	4
KHV	156	156	151	100	93	3	78	2	72	100	83	66	0	129	147	150	52	150	63	64	100	148	6	14	141	110	66	100	68
ACB	4	4	4	102	104	132	70	132	81	97	134	88	129	0	6	4	89	5	91	91	101	3	131	133	6	3	97	98	91
GWD	7	7	6	126	127	150	90	150	102	121	154	109	147	6	0	7	109	4	110	111	125	6	149	151	11	11	118	121	112
ESN	3	3	4	130	132	153	94	153	106	125	158	113	150	4	7	0	113	5	114	115	130	1	152	154	8	10	122	126	116
BEB	118	118	113	39	39	55	29	55	29	39	69	4	52	89	109	113	0	113	2	2	39	111	54	56	104	70	36	38	4
MSL	5	5	6	130	131	153	94	153	105	125	157	112	150	5	4	5	113	0	114	115	129	4	152	154	10	10	122	126	115
STU	119	119	114	41	41	67	32	67	32	41	76	4	63	91	110	114	2	114	0	1	40	113	66	67	105	72	41	39	4
ITU	119	119	114	40	41	68	31	68	32	40	76	3	64	91	111	115	2	115	1	0	40	114	67	69	106	72	41	39	4
CEU	134	134	128	0	6	103	10	104	15	2	86	28	100	101	125	130	39	129	40	40	0	128	101	104	119	78	36	3	34
YRI	2	2	3	129	130	152	92	152	104	124	156	111	148	3	6	1	111	4	113	114	128	0	151	152	7	9	120	124	114
CHB	159	159	154	101	94	1	79	9	72	101	80	68	6	131	149	152	54	152	66	67	101	151	0	7	143	112	65	101	71
JPT	160	161	156	104	96	9	81	17	74	103	80	70	14	133	151	154	56	154	67	69	104	152	7	0	145	114	66	104	72
LWK	5	5	5	120	122	144	85	144	96	115	149	103	141	6	11	8	104	10	105	106	119	7	143	145	0	10	113	116	106
ASW	10	10	9	79	81	113	50	113	59	75	112	68	110	3	11	10	70	10	72	72	78	9	112	114	10	0	75	76	72
MXL	128	128	123	37	36	67	19	70	10	37	17	35	66	97	118	122	36	122	41	41	36	120	65	66	113	75	0	37	39
TSI	130	130	124	4	12	103	9	104	15	2	88	28	100	98	121	126	38	126	39	39	3	124	101	104	116	76	37	0	33
GIH	120	120	115	34	35	72	28	72	29	35	75	4	68	91	112	116	4	115	4	4	34	114	71	72	106	72	39	33	0
