****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 15 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Will perform 200 bootstrap resamplings to estimate standard errors.
Reestimation for each bootstrap replicate will terminate at 3 iterations
Size of G: 1891x55290
Average base pair separation between consecutive markers: 50281.2
Block size that will be used for block bootstrap: 199
Performing five EM steps to prime main algorithm
53 (QN/Block) 	Elapsed: 23.074	Loglikelihood: -1.40167e+08	(delta): 1.28511
54 (QN/Block) 	Elapsed: 21.136	Loglikelihood: -1.40167e+08	(delta): 0.093151
55 (QN/Block) 	Elapsed: 24.731	Loglikelihood: -1.40167e+08	(delta): 0.07912
56 (QN/Block) 	Elapsed: 23.003	Loglikelihood: -1.40167e+08	(delta): 0.028116
57 (QN/Block) 	Elapsed: 20.614	Loglikelihood: -1.40167e+08	(delta): 0.0256613
58 (QN/Block) 	Elapsed: 21.893	Loglikelihood: -1.40167e+08	(delta): 0.0436077
59 (QN/Block) 	Elapsed: 22.448	Loglikelihood: -1.40167e+08	(delta): 0.346982
60 (QN/Block) 	Elapsed: 20.631	Loglikelihood: -1.40167e+08	(delta): 0.0871171
61 (QN/Block) 	Elapsed: 19.897	Loglikelihood: -1.40167e+08	(delta): 0.228992
62 (QN/Block) 	Elapsed: 23.319	Loglikelihood: -1.40167e+08	(delta): 0.0956387
63 (QN/Block) 	Elapsed: 23.605	Loglikelihood: -1.40167e+08	(delta): 0.600831
64 (QN/Block) 	Elapsed: 23.252	Loglikelihood: -1.40167e+08	(delta): 0.174031
65 (QN/Block) 	Elapsed: 23.296	Loglikelihood: -1.40167e+08	(delta): 0.0596093
66 (QN/Block) 	Elapsed: 21.022	Loglikelihood: -1.40167e+08	(delta): 0.0685357
67 (QN/Block) 	Elapsed: 23.446	Loglikelihood: -1.40167e+08	(delta): 0.173187
68 (QN/Block) 	Elapsed: 22.097	Loglikelihood: -1.40167e+08	(delta): 0.119615
69 (QN/Block) 	Elapsed: 23.796	Loglikelihood: -1.40167e+08	(delta): 0.0446526
70 (QN/Block) 	Elapsed: 20.224	Loglikelihood: -1.40167e+08	(delta): 0.105002
71 (QN/Block) 	Elapsed: 21.916	Loglikelihood: -1.40167e+08	(delta): 0.165453
72 (QN/Block) 	Elapsed: 24.217	Loglikelihood: -1.40167e+08	(delta): 0.147127
73 (QN/Block) 	Elapsed: 23.023	Loglikelihood: -1.40167e+08	(delta): 0.0513038
74 (QN/Block) 	Elapsed: 21.617	Loglikelihood: -1.40167e+08	(delta): 0.0536277
75 (QN/Block) 	Elapsed: 20.47	Loglikelihood: -1.40167e+08	(delta): 0.0524575
76 (QN/Block) 	Elapsed: 22.054	Loglikelihood: -1.40167e+08	(delta): 0.0699681
77 (QN/Block) 	Elapsed: 23.27	Loglikelihood: -1.40167e+08	(delta): 0.0297276
78 (QN/Block) 	Elapsed: 21.386	Loglikelihood: -1.40167e+08	(delta): 0.107453
79 (QN/Block) 	Elapsed: 19.943	Loglikelihood: -1.40167e+08	(delta): 0.0564618
80 (QN/Block) 	Elapsed: 21.636	Loglikelihood: -1.40167e+08	(delta): 0.279531
